v_low,fidelity,gamma_decay
0.25778981577546717,0.984531186504297,0.0
0.26214047386054184,0.9846600889510395,0.0
0.2665645569787828,0.9847879172468278,0.0
0.2710633043072041,0.9849146803426191,0.0
0.27563797593611883,0.9850403871147816,0.0
0.28028985322208816,0.9851650463657164,0.0
0.28502023914682617,0.9852886668244738,0.0
0.2898304586821632,0.9854112571473641,0.0
0.29472185916116705,0.9855328259185646,0.0
0.2996958106555294,0.9856533816507198,0.0
0.3047537063593192,0.985772932785538,0.0
0.3098969629792141,0.9858914876943824,0.0
0.3151270211313171,0.986009054678857,0.0
0.3204453457446704,0.9861256419713883,0.0
0.3258534264715789,0.9862412577358014,0.0
0.33135277810485936,0.9863559100678919,0.0
0.3369449410021302,0.9864696069959925,0.0
0.34263148151726347,0.9865823564815357,0.0
0.34841399243911686,0.9866941664196107,0.0
0.354294093437671,0.9868050446395167,0.0
0.36027343151769564,0.9869149989053106,0.0
0.3663536814800731,0.9870240369163515,0.0
0.37253654639090583,0.987132166307839,0.0
0.3788237580585424,0.987239394651348,0.0
0.3852170775186536,0.9873457294553595,0.0
0.391718295527495,0.9874511781657858,0.0
0.3983292330634943,0.9875557481664916,0.0
0.4050517418373038,0.9876594467798122,0.0
0.4118877048104607,0.9877622812670649,0.0
0.41883903672280165,0.9878642588290583,0.0
0.42590768462877676,0.987965386606596,0.0
0.43309562844281624,0.9880656716809776,0.0
0.4404048814939004,0.988165121074493,0.0
0.44783749108948906,0.9882637417509154,0.0
0.45539553908896896,0.9883615406159886,0.0
0.46308114248677756,0.9884585245179103,0.0
0.4708964540053696,0.9885547002478118,0.0
0.47884366269819034,0.9886500745402337,0.0
0.4869249945628254,0.988744654073597,0.0
0.49514271316449765,0.9888384454706715,0.0
0.5034991202700879,0.9889314552990387,0.0
0.5119965564928556,0.9890236900715523,0.0
0.5206374019480392,0.9891151562467941,0.0
0.5294240769195222,0.9892058602295262,0.0
0.5383590425377502,0.989295808371139,0.0
0.5474448014690884,0.989385006970097,0.0
0.5566838986168131,0.9894734622723792,0.0
0.5660789218339349,0.9895611804719162,0.0
0.5756325026480517,0.9896481677110246,0.0
0.5853473169984326,0.9897344300808365,0.0
0.5952260859855446,0.9898199736217262,0.0
0.6052715766332277,0.9899048043237337,0.0
0.6154866026637319,0.9899889281269831,0.0
0.6258740252858359,0.9900723509220996,0.0
0.6364367539962663,0.9901550785506211,0.0
0.6471777473946408,0.9902371168054082,0.0
0.6581000140121683,0.9903184714310486,0.0
0.6692066131543299,0.9903991481242604,0.0
0.6805006557577866,0.9904791525342909,0.0
0.6919853052617451,0.9905584902633114,0.0
0.7036637784940317,0.9906371668668105,0.0
0.7155393465721196,0.9907151878539822,0.0
0.7276153358193617,0.9907925586881123,0.0
0.739895128696688,0.9908692847869608,0.0
0.7523821647500258,0.9909453715231411,0.0
0.7650799415737106,0.9910208242244963,0.0
0.7779920157901543,0.9910956481744725,0.0
0.7911220040460485,0.9911698486124884,0.0
0.8044735840253806,0.9912434307343022,0.0
0.8180504954795458,0.991316399692376,0.0
0.8318565412748435,0.9913887605962357,0.0
0.8458955884576536,0.9914605185128296,0.0
0.8601715693375873,0.9915316784668825,0.0
0.8746884825889218,0.9916022454412483,0.0
0.8894503943706183,0.9916722243772583,0.0
0.9044614394652465,0.9917416201750674,0.0
0.9197258224371291,0.9918104376939972,0.0
0.9352478188100319,0.9918786817528765,0.0
0.9510317762647298,0.9919463571303785,0.0
0.967082115856783,0.9920134685653552,0.0
0.9834033332548668,0.9920800207571698,0.0
1.0,0.9921460183660256,0.0
