time,P_osc_0,P_osc_1,P_osc_2,P_osc_3,P_osc_4,P_osc_5,P_osc_6,P_osc_7,P_high_ge2
2.1547622950927616,0.9933914626040234,0.006587299510786429,2.1191151399043626e-05,4.665819803285455e-08,7.549323047058023e-11,9.960876747853972e-14,1.0864152312131398e-16,1.0125059413704038e-19,2.123788519002446e-05
2.2114665660162554,0.9930436611298071,0.006932838982428717,2.3445458808451884e-05,5.433637379182119e-08,9.245351305592407e-11,1.283329581088957e-13,1.4709108023514873e-16,1.4478506889704092e-19,2.349988776423695e-05
2.268170836939749,0.9926873352736765,0.007286731964577552,2.5869625969661345e-05,6.302299457727251e-08,1.126173285863564e-10,1.6422108486981536e-13,1.9753429107287028e-16,2.05079134128903e-19,2.5932761745986023e-05
2.324875107863243,0.9923225281019079,0.007648927767580231,2.8471176004552884e-05,7.281782148918214e-08,1.3647690136251807e-10,2.088004534809926e-13,2.63250682311926e-16,2.8759464595651566e-19,2.854413051200742e-05
2.3815793787867365,0.9919492842187643,0.008019374095174843,3.125769411572442e-05,8.382709701009182e-08,1.6458377719438663e-10,2.6387772843577816e-13,3.483068810904719e-16,3.9945758638650443e-19,3.1341686060738144e-05
2.4382836497102303,0.9915676497953295,0.008398017021561422,3.4236821494962085e-05,9.616372893365233e-08,1.975531707117896e-10,3.315858695108702e-13,4.577193453479726e-16,5.498130675023867e-19,3.433318310911059e-05
2.494987920633724,0.9911776726028756,0.008784800965205149,3.7416247945713036e-05,1.0994748891888516e-07,2.3606958770287356e-10,4.1442930596372385e-13,5.976280276932615e-16,7.503977835629222e-19,3.752643191924731e-05
2.5516921915572177,0.9907794020810756,0.00917966860465726,4.080372705690497e-05,1.253057998276377e-07,2.808943438200663e-10,5.152460051003064e-13,7.753332844277527e-16,1.016392013852965e-18,4.0929314267098775e-05
2.6083964624807114,0.9903728893092076,0.009582560940977041,4.440704308726643e-05,1.423732213708718e-07,3.3286851717043157e-10,6.373303034230541e-13,9.997305017912086e-16,1.3670754643567013e-18,4.454974981548586e-05
2.665100733404205,0.9899581870416929,0.009993417269404285,4.823400357383423e-05,1.6129162409487134e-07,3.9291926324246754e-10,7.844862085586682e-13,1.2816131949128454e-15,1.826899044570006e-18,4.839568890296199e-05
2.721805004327699,0.9895353497425852,0.010412175151025245,5.2292432980646007e-05,1.8221038023051895e-07,4.6206631833573756e-10,9.610769088307001e-13,1.6340333574823814e-15,2.4267985475880314e-18,5.247510638990823e-05
2.7785092752511926,0.9891044336174957,0.010838770385672545,5.659016767892067e-05,2.0528655035672076e-07,5.414283372759192e-10,1.1720966467675865e-12,2.072651953376647e-15,3.205256406668632e-18,5.6795996831787166e-05
2.8352135461746863,0.9886654966537963,0.011273136953915968,6.113507313317445e-05,2.306855001610096e-07,6.322285954700088e-10,1.4232662760965569e-12,2.615510679494738e-15,4.207280593376317e-18,6.136639228781693e-05
2.89191781709818,0.9882185986142743,0.011715207064834787,6.593500308486988e-05,2.5858027987205407e-07,7.358017574664896e-10,1.7210876164201304e-12,3.2840648955945217e-15,5.4891914010696545e-18,6.619432089087657e-05
2.948622088021674,0.9877638010710741,0.012164911124500771,7.099779694770273e-05,2.8915179992386543e-07,8.536006135689534e-10,2.0729425270457393e-12,4.103582095952696e-15,7.12047442136727e-18,7.128780442529338e-05
3.0053263589451675,0.9873011674326195,0.012622177716383808,7.633127242331536e-05,3.225888778450704e-07,9.872029623334254e-10,2.487198499907192e-12,5.103645766154505e-15,9.186580984693234e-18,7.66548509964341e-05
3.0620306298686613,0.9868307629826849,0.013086933563104176,8.194322437849175e-05,3.5908853304390044e-07,1.1383199200097735e-09,2.973279029262563e-12,6.31882587465815e-15,1.1791829607009892e-17,8.23034542110653e-05
3.118734900792155,0.9863526549354849,0.013559103452457772,8.784144278436397e-05,3.98856918693277e-07,1.3088052995752972e-09,3.54162891076928e-12,7.789558227401217e-15,1.5059699916181782e-17,8.824161205779034e-05
3.1754391717156487,0.9858669123904773,0.014038610331371451,9.403366539944416e-05,4.421078814979049e-07,1.5006567137872085e-09,4.203993987143604e-12,9.562927150501199e-15,1.9139530390703085e-17,9.44772781512319e-05
3.2321434426391424,0.9853736063770393,0.014525375258455858,0.00010052758018090012,4.890633147806413e-07,1.7160241367254844e-09,4.97349073066704e-12,1.1693759809039682e-14,2.421026103244108e-17,0.00010101836450502618
3.288847713562636,0.9848728098784862,0.01501931738803228,0.00010733081728241548,5.399531032758561e-07,1.9572166799146102e-09,5.864726437101699e-12,1.424589179383621e-14,3.048532834164685e-17,0.00010787273348137405
3.34555198448613,0.9843645978725138,0.015520353924672815,0.00011445095365668787,5.950155319408392e-07,2.2267134917370757e-09,6.893934206941306e-12,1.7292310647020066e-14,3.821875087913929e-17,0.00011504820281338519
3.4022562554096236,0.9838490473683101,0.01602840007134457,0.00012189552708423114,6.544979845287014e-07,2.527176183939095e-09,8.079080786939596e-12,2.091403494481327e-14,4.7713944871283644e-17,0.0001225525603449863
3.4589605263331173,0.9833262373633126,0.016543369123721147,0.00012967198687649373,7.186551823954611e-07,2.861442306094607e-09,9.440005473113711e-12,2.5204789638772632e-14,5.933353401947787e-17,0.00013039351296646487
3.515664797256611,0.982796248884749,0.017065172421928326,0.00013778770020123307,7.877495563486261e-07,3.2325362029940507e-09,1.0998573569766844e-11,3.027123895921593e-14,7.351123533478529e-17,0.00013857869332270297
3.572369068180105,0.982259165006621,0.017593719342280524,0.00014624994360769352,8.620510010904652e-07,3.6436749851725138e-09,1.277883545269322e-11,3.623452936466505e-14,9.076676530360706e-17,0.00014711565109892992
3.6290733391035985,0.981715070942355,0.018128917197796898,0.00015506590864539077,9.41838057389875e-07,4.098294751996389e-09,1.4807304736003605e-11,4.3232705159266014e-14,1.1168745700395744e-16,0.00015601185984818173
3.6857776100270923,0.981164054087993,0.018670671191766814,0.00016424270441248745,1.0273985944947923e-06,4.600068413976834e-09,1.711318240189521e-11,5.142212066981038e-14,1.3690867063887435e-16,0.00016527472024013766
3.742481880950586,0.9806062038951406,0.019218884582117852,0.0001737873231457279,1.1190269308206473e-06,5.152875519055728e-09,1.9728351181483272e-11,6.097779371330652e-14,1.6718300050699305e-16,0.00017491152274156372
3.7991861518740797,0.9800416119505436,0.019773458598074493,0.00018370664309313314,1.217024704192195e-06,5.760824601368976e-09,2.2687664344927052e-11,7.209572934358246e-14,2.0336746760005074e-16,0.0001849294513818901
3.8558904227975734,0.9794703719904897,0.020334292434531304,0.0001940074200350469,1.321700570458171e-06,6.428259245573367e-09,2.6029159353495553e-11,8.499461250255004e-14,2.464361287487258e-16,0.00019533557497915106
3.912594693721067,0.9788925798670001,0.0209012832549744,0.00020469631804902462,1.4333703261241315e-06,7.159756518988445e-09,2.9793890810392024e-11,9.992057923107869e-14,2.9754759517807363e-16,0.00020613687802577667
3.969298964644561,0.9783083335475551,0.021474326203350016,0.00021577989849609025,1.552356327062296e-06,7.960128116233169e-09,3.402609835210279e-11,1.1715152223369246e-13,3.5805481452121043e-16,0.00021734024909487675
4.026003235568055,0.9777177331621725,0.02205331440413388,0.0002272645739032349,1.6789864512598973e-06,8.834428016237268e-09,3.877376437426714e-11,1.3699834465343862e-13,4.2947202472230704e-16,0.00022895243369370325
4.082707506491548,0.9771208809833154,0.022638138970211805,0.00023915662053617304,1.8135937384819709e-06,9.787949705815494e-09,4.4088624587582055e-11,1.5981073957427936e-13,5.135213246331164e-16,0.0002409800464733097
4.139411777415042,0.9765178814295534,0.023228689007780554,0.00025146217048257216,1.956515744089662e-06,1.082622656769356e-08,5.002638677136296e-11,1.8598245472344745e-13,6.121540388711984e-16,0.00025342956266621094
4.196116048338536,0.9759088413442583,0.02382485131848811,0.00026418722542478424,2.1080998230636533e-06,1.195514174331629e-08,5.6647567108571375e-11,2.1592875358694534e-13,7.27646485114565e-16,0.0002663073372538147
4.25282031926203,0.9752938698271998,0.024426510581548495,0.00027733764624220483,2.2686998688181427e-06,1.3180872868204125e-08,6.40171386465735e-11,2.5009655212030215e-13,8.626578587878652e-16,0.00027961959125198904
4.309524590185523,0.9746730780999948,0.02503354950876758,0.00029091913608358597,2.4386728227387833e-06,1.4509837208810807e-08,7.220434930906173e-11,2.889804875098781e-13,1.0202651285137314e-15,0.00029337239123788364
4.3662288611090165,0.9740465796082379,0.025645848740147276,0.0003049372410947561,2.6183801740092035e-06,1.594872884658222e-08,8.128305877911853e-11,3.331159679152048e-13,1.204067675782089e-15,0.0003075716516149907
4.422933132032511,0.973414490018369,0.026263286852046284,0.00031939734595514096,2.8081873957765325e-06,1.7504517784892835e-08,9.133186853393609e-11,3.830826427711608e-13,1.4182604788179491e-15,0.00032222312958507185
4.479637402956005,0.9727769271199123,0.026885740431475562,0.0003343046981295816,3.0084631211724877e-06,1.9184484332294635e-08,1.0243592578500092e-10,4.3955222777883633e-13,1.6668745780209004e-15,0.0003373324486122314
4.536341673879498,0.9721340108831417,0.027513084048718488,0.00034966437816996156,3.2195785860349233e-06,2.0996192690386624e-08,1.1468605118688967e-10,5.032550856824684e-13,1.954305095986984e-15,0.00035290506813994744
4.593045944802991,0.9714858634663674,0.02814519026245186,0.00036548128811856895,3.441906827315644e-06,2.294747898453575e-08,1.2817861148453826e-10,5.749740496746847e-13,2.2855168347345304e-15,0.00036894627118074023
4.649750215726486,0.9708326091803534,0.028781929655863524,0.00038176015195831353,3.675821696357122e-06,2.5046454078930776e-08,1.4301615896798366e-10,6.555572966904018e-13,2.6658829571445697e-15,0.0003854611637831317
4.70645448664998,0.9701743745042276,0.02942317082388116,0.00039850551275859503,3.921697568924118e-06,2.7301507491672877e-08,1.5930763158507842e-10,7.459229183707692e-13,3.101325354125796e-15,0.0004024546718916666
4.763158757573473,0.9695112884036122,0.03006877999785914,0.00041572178226164844,4.179916830044008e-06,2.9721419113682363e-08,1.7716745344420386e-10,8.471040725778914e-13,3.5994828960615584e-15,0.0004199315985289631
4.819863028496966,0.9688434819453474,0.030718621489658295,0.0004334131912413579,4.450860845587888e-06,3.231522649099159e-08,1.9671636144519787e-10,9.602356560548436e-13,4.168409047889181e-15,0.00043789656499420226
4.8765672994204605,0.9681710883055876,0.031372557687248115,0.0004515837863824506,4.734909389443166e-06,3.509221920875247e-08,2.1808149060625908e-10,1.086565791105509e-12,4.81657393674945e-15,0.0004563540071639756
4.933271570343955,0.9674942428119829,0.032030449006347016,0.0004702374359829661,5.032441113323642e-06,3.80619446424446e-08,2.4139621300715286e-10,1.2274783807390512e-12,5.5529375290432706e-15,0.00047530818167017643
4.989975841267448,0.9668130829247283,0.03269215391268608,0.0004893778269908815,5.343833181276344e-06,4.1234222211280783e-08,2.668006513693022e-10,1.384478366272561e-12,6.3870749003448424e-15,0.000494763162585886
5.046680112190941,0.9661277482078778,0.03335752894965337,0.0005090084627077185,5.669464424982481e-06,4.4619325061550256e-08,2.9444479369007805e-10,1.5589728605277789e-12,7.331482979441038e-15,0.0005147228424688604
5.103384383114435,0.9654383802989976,0.03402642877613316,0.0005291326610177202,6.009709874356795e-06,4.8227732304826155e-08,3.244840192801041e-10,1.7524964701776542e-12,8.400255802401481e-15,0.0005351909248692979
