v_low,leakage_coupling,oscillator_ratio,max_high_population,final_high_population,t_gate,passes_1e_minus_3
0.32,0.004,2.0,2.5384406109260073e-07,2.3158101778663664e-08,22.21441469079183,1
0.32,0.004,2.4,8.83799867139715e-08,5.209815826565715e-08,22.21441469079183,1
0.32,0.004,3.0,2.802002621211964e-08,1.2505647674610187e-08,22.21441469079183,1
0.32,0.004,3.6,1.292163357659404e-08,4.383548316554579e-09,22.21441469079183,1
0.32,0.004,4.5,4.793326580621839e-09,1.5407456942706507e-09,22.21441469079183,1
0.32,0.006,2.0,1.2831086907132388e-06,1.1690035816616745e-07,22.21441469079183,1
0.32,0.006,2.4,4.4691923429132084e-07,2.6371809450303503e-07,22.21441469079183,1
0.32,0.006,3.0,1.4174429101244535e-07,6.339913812052467e-08,22.21441469079183,1
0.32,0.006,3.6,6.542371198570296e-08,2.2134929496898753e-08,22.21441469079183,1
0.32,0.006,4.5,2.4270786405272678e-08,7.784068096369025e-09,22.21441469079183,1
0.32,0.008,2.0,4.0463629910065146e-06,3.680179522157529e-07,22.21441469079183,1
0.32,0.008,2.4,1.41018855630994e-06,8.333291381264895e-07,22.21441469079183,1
0.32,0.008,3.0,4.4753490940171486e-07,2.0076244606186873e-07,22.21441469079183,1
0.32,0.008,3.6,2.0681138895839426e-07,6.974727641979728e-08,22.21441469079183,1
0.32,0.008,4.5,7.67450210089016e-08,2.4560996344675176e-08,22.21441469079183,1
0.32,0.01,2.0,9.851231329490932e-06,8.942334472488627e-07,22.21441469079183,1
0.32,0.01,2.4,3.4354144729286066e-06,2.034172369786154e-06,22.21441469079183,1
0.32,0.01,3.0,1.091089836627297e-06,4.912769459114183e-07,22.21441469079183,1
0.32,0.01,3.6,5.04935715864049e-07,1.6959064459487675e-07,22.21441469079183,1
0.32,0.01,4.5,1.8741191000370463e-07,5.981618948417767e-08,22.21441469079183,1
0.32,0.012,2.0,2.035739359466661e-05,1.8437299333123441e-06,22.21441469079183,1
0.32,0.012,2.4,7.105395821375734e-06,4.216885881103622e-06,22.21441469079183,1
0.32,0.012,3.0,2.2587448394347314e-06,1.0216363205859777e-06,22.21441469079183,1
0.32,0.012,3.6,1.0471164660646912e-06,3.499434770043201e-07,22.21441469079183,1
0.32,0.012,4.5,3.8875531804684484e-07,1.2368405406984477e-07,22.21441469079183,1
0.32,0.016,2.0,6.377700717668628e-05,5.748208817355399e-06,22.21441469079183,1
0.32,0.016,2.4,2.23096104241184e-05,1.331864806719679e-05,22.21441469079183,1
0.32,0.016,3.0,7.108439328884827e-06,3.2520981903271514e-06,22.21441469079183,1
0.32,0.016,3.6,3.309777260623111e-06,1.0921841303847812e-06,22.21441469079183,1
0.32,0.016,4.5,1.2295673177715678e-06,3.880163129749711e-07,22.21441469079183,1
