alpha,g0_over_omega_rabi0,g0,v_low,oscillator_ratio,max_high_population,final_high_population,F_X,t_gate,passes_leakage,passes_fidelity,passes_both
3.0,0.015,0.0012,0.42,5.5,1.9331445615756814e-08,1.2704079506976284e-08,0.9998406567139808,25.449809209923146,1,1,1
3.0,0.015,0.0012,0.42,7.0,7.353028270007815e-09,4.765758618458278e-11,0.9999902134348634,25.449809209923146,1,1,1
3.0,0.015,0.0012,0.56,2.4,5.345236958732129e-09,2.0066252220039376e-09,0.9999367149701797,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.56,3.0,2.1882702999775264e-09,7.632329142964064e-11,0.9999875983221244,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.56,3.6,1.0549898163501744e-09,9.553318411301895e-10,0.9999562980257224,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.56,4.5,4.357244278057658e-10,7.016849718781886e-11,0.9999886133940168,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.56,5.5,1.9363649913304638e-10,1.6220297875125708e-10,0.9999820013662489,29.386908396347494,1,1,1
3.0,0.015,0.0012,0.56,7.0,7.410365239601993e-11,4.214342561591908e-11,0.999990858302192,29.386908396347494,1,1,1
3.0,0.02,0.0016,0.1,2.4,0.9982990210792417,0.8393145852805155,0.009401684087061138,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.1,3.0,0.9991663325382351,0.7913430162141603,0.019827582825482387,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.1,3.6,0.9994995803023173,0.7369062243698747,0.05743285322931263,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.1,4.5,0.9987367490383247,0.6308308220324763,0.17430194475549438,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.1,5.5,0.9963653061632414,0.5532974067782216,0.3367657181894343,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.1,7.0,0.9922579232942541,0.49664220732866116,0.4942158720839858,12.418235332245127,0,0,0
3.0,0.02,0.0016,0.14,2.4,0.9972889759788333,0.576858415012797,0.15635420645378562,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.14,3.0,0.991781328305844,0.42200894240945136,0.23603557956775761,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.14,3.6,0.9842005000176456,0.6723953645654266,0.17063522779445178,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.14,4.5,0.851501676523818,0.8235168955480613,0.030637620586686717,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.14,5.5,0.6669205193476976,0.14311916228975402,0.4575552478760007,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.14,7.0,0.4136892678081361,0.22375900396230328,0.41008399245279054,14.693454198173747,0,0,0
3.0,0.02,0.0016,0.18,2.4,0.4792294543509827,0.042554773278099575,0.7299183277579372,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.18,3.0,0.276096230183818,0.2590702420153324,0.37309600183512936,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.18,3.6,0.16168960454454728,0.06964928994712351,0.6508360459398472,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.18,4.5,0.07799778469572108,0.0039879520600046205,0.9120438020884089,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.18,5.5,0.03851130966924553,0.028897982200073016,0.7694309736396797,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.18,7.0,0.015861615911722915,0.009696303560995352,0.8640135479882377,16.660811018093874,0,0,0
3.0,0.02,0.0016,0.24,2.4,0.011717521082214863,0.0025958875662072814,0.92881636726747,19.23824745242796,0,0,0
3.0,0.02,0.0016,0.24,3.0,0.004983464672414516,0.0006721410891494363,0.9635606505946954,19.23824745242796,0,0,0
3.0,0.02,0.0016,0.24,3.6,0.002455558246697511,0.0016077966343638408,0.9438317837717107,19.23824745242796,0,0,0
3.0,0.02,0.0016,0.24,4.5,0.0010234327980972366,0.0004705553806055656,0.96947966586859,19.23824745242796,0,0,0
3.0,0.02,0.0016,0.24,5.5,0.0004632684432029409,1.373574903933562e-07,0.999476412828877,19.23824745242796,1,1,1
3.0,0.02,0.0016,0.24,7.0,0.00017718121318333174,6.552824246968542e-06,0.9963824200087471,19.23824745242796,1,0,0
3.0,0.02,0.0016,0.32,2.4,0.00012931161598220888,4.8031934515520816e-05,0.9902146283469444,22.21441469079183,1,0,0
3.0,0.02,0.0016,0.32,3.0,5.308047456750486e-05,4.2468342507052824e-05,0.9907980624856969,22.21441469079183,1,0,0
3.0,0.02,0.0016,0.32,3.6,2.569496120566787e-05,6.875156273636382e-08,0.9996293408710438,22.21441469079183,1,1,1
3.0,0.02,0.0016,0.32,4.5,1.0542797668953257e-05,6.740701658993417e-08,0.9996329872590602,22.21441469079183,1,1,1
3.0,0.02,0.0016,0.32,5.5,4.7257540257662575e-06,8.124438531115018e-07,0.9987257212997445,22.21441469079183,1,0,0
3.0,0.02,0.0016,0.32,7.0,1.8038349655944313e-06,7.044909679710712e-09,0.9998812943160772,22.21441469079183,1,1,1
3.0,0.02,0.0016,0.42,2.4,1.6834877650385881e-06,7.409162586031247e-09,0.9998783571522548,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.42,3.0,6.896733293384858e-07,7.223641120642318e-09,0.9998799020190924,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.42,3.6,3.3272097060466495e-07,7.000165426438549e-09,0.9998817686657263,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.42,4.5,1.363203882079262e-07,8.292643369295459e-08,0.9995926938816725,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.42,5.5,6.109608413981925e-08,4.014018023531766e-08,0.9997167410039421,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.42,7.0,2.3241794268944437e-08,1.5081923162733784e-10,0.9999826014487107,25.449809209923146,1,1,1
3.0,0.02,0.0016,0.56,2.4,1.6890074110385597e-08,6.336522416731651e-09,0.9998874965050042,29.386908396347494,1,1,1
3.0,0.02,0.0016,0.56,3.0,6.917002249535605e-09,2.4205670956655355e-10,0.999977952400164,29.386908396347494,1,1,1
3.0,0.02,0.0016,0.56,3.6,3.3337818080301695e-09,3.019305713412915e-09,0.9999223089307574,29.386908396347494,1,1,1
3.0,0.02,0.0016,0.56,4.5,1.3659092173242214e-09,2.0348491736756768e-10,0.999979757107053,29.386908396347494,1,1,1
3.0,0.02,0.0016,0.56,5.5,6.131301204941786e-10,5.136628149406219e-10,0.9999680027810286,29.386908396347494,1,1,1
3.0,0.02,0.0016,0.56,7.0,2.3316377713816227e-10,1.3241646224793765e-10,0.999983748158478,29.386908396347494,1,1,1
3.0,0.03,0.0024,0.1,2.4,0.9967553427731675,0.27293931182493814,0.534914682515477,12.418235332245127,0,0,0
3.0,0.03,0.0024,0.1,3.0,0.9975451724043888,0.26696833723778474,0.5950373179783282,12.418235332245127,0,0,0
3.0,0.03,0.0024,0.1,3.6,0.9982990205507327,0.26807612411881837,0.6481767601021139,12.418235332245127,0,0,0
3.0,0.03,0.0024,0.1,4.5,0.9991663326144032,0.3107505847997511,0.6659844149043537,12.418235332245127,0,0,0
3.0,0.03,0.0024,0.1,5.5,0.9994963062432092,0.4100445443558989,0.5883308615683065,12.418235332245127,0,0,0
3.0,0.03,0.0024,0.1,7.0,0.9984336384199086,0.5575030749673523,0.4077918918068012,12.418235332245127,0,0,0
3.0,0.03,0.0024,0.14,2.4,0.9945271119758687,0.3731687511993311,0.5035860671464645,14.693454198173747,0,0,0
3.0,0.03,0.0024,0.14,3.0,0.9916932240678092,0.4939915822623459,0.45362542539052725,14.693454198173747,0,0,0
3.0,0.03,0.0024,0.14,3.6,0.9972889763328803,0.5940639728571511,0.39522766523053227,14.693454198173747,0,0,0
3.0,0.03,0.0024,0.14,4.5,0.9916809457580172,0.6918802271140198,0.243400991276739,14.693454198173747,0,0,0
3.0,0.03,0.0024,0.14,5.5,0.9823168604634253,0.30077828793235944,0.6176677165745222,14.693454198173747,0,0,0
3.0,0.03,0.0024,0.14,7.0,0.8497060466958826,0.6268254492316838,0.15180691528480997,14.693454198173747,0,0,0
3.0,0.03,0.0024,0.18,2.4,0.8714006172742634,0.2525398974819272,0.4557299682140257,16.660811018093874,0,0,0
3.0,0.03,0.0024,0.18,3.0,0.6737108170863079,0.6505176444936432,0.10869687105881429,16.660811018093874,0,0,0
3.0,0.03,0.0024,0.18,3.6,0.47913180596237015,0.25306348984111054,0.3796749285072032,16.660811018093874,0,0,0
3.0,0.03,0.0024,0.18,4.5,0.27620010499774383,0.018999642825871105,0.8128780828222371,16.660811018093874,0,0,0
3.0,0.03,0.0024,0.18,5.5,0.15262277650166267,0.11852910627553229,0.5544754093728261,16.660811018093874,0,0,0
3.0,0.03,0.0024,0.18,7.0,0.06884639344385717,0.04356469445397559,0.7197326187183406,16.660811018093874,0,0,0
3.0,0.03,0.0024,0.24,2.4,0.052006357837163404,0.012365147198523373,0.8469195432319104,19.23824745242796,0,0,0
3.0,0.03,0.0024,0.24,3.0,0.02317594576520207,0.0032995498632962202,0.9198729679165463,19.23824745242796,0,0,0
3.0,0.03,0.0024,0.24,3.6,0.011716529849362872,0.007759701623182474,0.8780370133994663,19.23824745242796,0,0,0
3.0,0.03,0.0024,0.24,4.5,0.004987749944551618,0.0023216975812586434,0.9326357918833921,19.23824745242796,0,0,0
3.0,0.03,0.0024,0.24,5.5,0.002286223427875185,6.948508091559802e-07,0.9988223150240247,19.23824745242796,0,0,0
3.0,0.03,0.0024,0.24,7.0,0.0008829709283431908,3.3072380774838205e-05,0.9918788513767247,19.23824745242796,1,0,0
3.0,0.03,0.0024,0.32,2.4,0.0006458919294276437,0.00024118124403343247,0.9781174647788938,22.21441469079183,1,0,0
3.0,0.03,0.0024,0.32,3.0,0.0002664152609984896,0.00021334442872265435,0.9794146301733531,22.21441469079183,1,0,0
3.0,0.03,0.0024,0.32,3.6,0.00012930220935549928,3.480600590114415e-07,0.9991662121292717,22.21441469079183,1,1,1
