v_low,g0_over_omega_rabi0,g0,oscillator_ratio,drag_lambda,t_gate,max_high_population,final_high_population,F_X,passes_leakage,passes_fidelity,passes_both
0.18,0.04,0.0032,3.6,0.5,16.660811018093874,0.37180571745610047,0.007624742451152687,0.9059362995395369,0,0,0
0.18,0.04,0.0032,3.6,1.0,16.660811018093874,0.2933127158803816,0.0035303765892382797,0.7990547147705832,0,0,0
0.18,0.04,0.0032,3.6,1.5,16.660811018093874,0.35330812242172244,0.03712451686784244,0.45459122548528985,0,0,0
0.18,0.04,0.0032,3.6,2.0,16.660811018093874,0.5394132648960462,0.21526703469934433,0.12895636033808244,0,0,0
0.18,0.04,0.0032,4.5,-2.0,16.660811018093874,0.26586089072636715,0.02804548414621871,0.5337238600512462,0,0,0
0.18,0.04,0.0032,4.5,-1.5,16.660811018093874,0.2186837741079641,0.009743862267837515,0.7359706248092135,0,0,0
0.18,0.04,0.0032,4.5,-1.0,16.660811018093874,0.200711123270862,0.0018982056062303804,0.8832017703744433,0,0,0
0.18,0.04,0.0032,4.5,-0.5,16.660811018093874,0.18855576725528714,0.00020104706043852906,0.9666119317041091,0,0,0
0.18,0.04,0.0032,4.5,0.0,16.660811018093874,0.16954265850999087,2.585199864532513e-05,0.9929629180031831,0,0,0
0.18,0.04,0.0032,4.5,0.5,16.660811018093874,0.1443357000376152,7.934599177603058e-05,0.9666120125015468,0,0,0
0.18,0.04,0.0032,4.5,1.0,16.660811018093874,0.11508435550290665,4.547929442901203e-05,0.8832019416678292,0,0,0
0.18,0.04,0.0032,4.5,1.5,16.660811018093874,0.0848824549874288,0.00030355638885657337,0.7359707707552661,0,0,0
0.18,0.04,0.0032,4.5,2.0,16.660811018093874,0.1226933013742229,0.004320185109749784,0.5337238273172104,0,0,0
0.18,0.04,0.0032,5.5,-2.0,16.660811018093874,0.07313755620416106,0.001380785653532029,0.7002388832098,0,0,0
0.18,0.04,0.0032,5.5,-1.5,16.660811018093874,0.06412911295227551,0.0009362570220941564,0.8218141491510812,0,0,0
0.18,0.04,0.0032,5.5,-1.0,16.660811018093874,0.05947946471823025,0.00045063598006834843,0.9145791717413935,0,0,0
0.18,0.04,0.0032,5.5,-0.5,16.660811018093874,0.05576720126403996,0.00014873057623025982,0.9726862032948315,0,0,0
0.18,0.04,0.0032,5.5,0.0,16.660811018093874,0.05275491688854653,2.838686920929853e-05,0.9924766410070148,0,0,0
0.18,0.04,0.0032,5.5,0.5,16.660811018093874,0.05218808383006097,1.0435074826080395e-06,0.9726867118303901,0,0,0
0.18,0.04,0.0032,5.5,1.0,16.660811018093874,0.05372915939223609,1.0443106467379226e-05,0.9145796760768917,0,0,0
0.18,0.04,0.0032,5.5,1.5,16.660811018093874,0.05532841618475891,3.81689010004954e-05,0.8218146175270092,0,0,0
0.18,0.04,0.0032,5.5,2.0,16.660811018093874,0.05961228345609759,6.197239509433076e-05,0.7002386427484921,0,0,0
0.18,0.04,0.0032,7.0,-2.0,16.660811018093874,0.025652453596174074,3.717547814809771e-05,0.7810530568146212,0,0,0
